"Donaciones de Sangre — Terremoto en Colombia (10 de agosto de 2026)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Esta pestaña dejó de ser actualizada el miércoles 12 de agosto. Para información actualizada y nuevas sugerencias de donación, visite www.tinyurl.com/AyudaColHub","","","","","","","","","","","","","","","","","","","","","","","","",""
"Se recomienda revisar los horarios de donación en las cuentas de redes sociales de quienes las organizan","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ciudad / Región","Organización","Punto de entrega / Canal","Detalle (dirección, cuenta, enlace)","Qué se necesita","Contacto / Más información","","","","","","","","","","","","","","","","","","","",""
"BOGOTÁ","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Banco Distrital de Sangre","Varios - consultar fecha y lugar acá: https://idcbis.org.co/banco-distrital-de-sangre/

Ubicación principal: Avenida Carrera 68 # 68B-31
","Punto de donación de sangre (O+ y O-)","Donación de sangre","https://www.instagram.com/p/Db3sXSpTIc4/

Cel:: 3102172379 / 3205027640 / 3425027663
","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Instituto Distrital de Ciencia, Biotecnología e Innovación en Salud (IDCBIS)","Carrera 32 # 12-81","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=3

Tel.: 3649620 Ext. 9441-9726","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Instituto Nacional de Cancerología","Avenida 1 # 9-85","Punto de donación de sangre","Donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 4817000 Ext. 5363-5362","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Hospital Militar Central","Transversal 3 # 49-02, tercer piso sur","Punto de donación de sangre","Donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 3486868 Ext. 5375-5362
Cel.: 3158633770","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Hospital Universitario Clínica San Rafael","Carrera 8 # 17-44 Sur, piso 2","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 7464714 Ext. 2351-2354","","","","","","","","","","","","","","","","","","","",""
"Bogotá ","Sociedad de Cirugía de Bogotá Hospital de San José","Calle 10 # 18-75","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 3538000 Ext. 458-471","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Fundación Cardio Infantil","Carrera 13B # 161-85, Piso 2, Torre H","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 6672727 Ext. 72103-72104-72106
Cel.: 317675500 / 3173798034","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Fundación Hospital de la Misericordia","Av. Caracas # 1-65, piso 2","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.:3282510 Ext. 1230-1231","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Clinica de Marly","Calle 50 # 9-67, piso 2","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=2

Tel.: 3436600 Ext. 1224-2224-2225","","","","","","","","","","","","","","","","","","","",""
"Bogotá","Clínica Colsánitas","Calle 166 # 22-68","Punto de donación de sangre","donación de sangre","https://www.instagram.com/p/Db6EMniltRJ/?hl=en&img_index=3

Tel.: 5895468 / 5718610
Cel.: 3153384374","","","","","","","","","","","","","","","","","","","",""
